Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestNoRootRunCommandExecutedWithoutVersionSet,1.34697,2.04169,1.48118,1.3036,1.33373,1.28946,1.32313
TestNoValidArgsFuncInBashScript,1.34348,2.03114,1.40743,1.4197,1.33589,1.39992,1.3431
TestNormPassedOnInherited,0.95014,1.48586,0.9402,0.93536,0.96513,1.02849,0.97409
TestNormPassedOnLocal,1.17888,1.73762,1.17999,1.08141,0.9946,0.96736,0.93652
TestOnlyValidArgs,1.25256,2.30077,1.28814,1.2011,1.19195,1.2856,1.25272
TestOnlyValidArgs_WithInvalidArgs,1.17951,2.38137,1.24849,1.26838,1.28266,1.25444,1.23163
TestPersistentFlagsOnChild,0.825,1.39823,0.81955,0.81704,0.84329,0.89593,0.85389
TestPersistentFlagsOnSameCommand,0.83983,1.33244,0.82739,0.85579,0.85071,0.82607,0.83041
TestPersistentHooks,1.09569,1.7477,1.23377,1.00111,0.97675,0.93042,0.9399
TestPersistentRequiredFlags,0.84119,1.41074,0.82623,0.87157,0.82126,0.82574,0.83098
TestPersistentRequiredFlagsWithDisableFlagParsing,0.86307,1.31926,0.81851,0.83988,0.84621,0.83943,0.8213
TestPlugin,0.81116,1.30256,0.826,0.86668,0.84605,0.83814,0.80681
TestPluginWithSubCommands,0.78595,1.30686,0.80987,0.82935,0.83324,0.83488,0.87527
TestProgWithColon,1.08435,1.59149,1.09294,1.07961,1.07552,1.06775,1.03365
TestProgWithDash,1.0848,1.65582,1.09902,1.04827,1.07036,1.06779,1.07884
TestPwshCompletionNoActiveHelp,1.17691,1.70278,1.1535,1.18575,1.17788,1.15152,1.1729
TestRangeArgs,1.23851,2.13126,1.12911,1.20172,1.18181,1.19521,1.26554
TestRangeArgs_WithInvalidCount,1.1896,2.14867,1.23429,1.17991,1.17336,1.23629,1.16498
TestRangeArgs_WithInvalidCount_WithValid,1.19911,2.14479,1.21707,1.20298,1.18493,1.3456,1.27346
TestRangeArgs_WithInvalidCount_WithValidOnly_WithInvalidArgs,1.23818,2.11823,1.22459,1.24574,1.19692,1.06913,0.99582
TestRangeArgs_WithInvalidCount_WithValid_WithInvalidArgs,1.16091,2.20787,1.23187,1.21793,1.19614,1.21316,1.14625
TestRangeArgs_WithValid,1.21581,2.14159,1.15091,1.1449,1.2969,1.18562,1.22434
TestRangeArgs_WithValidOnly_WithInvalidArgs,1.24043,2.23365,1.13963,1.12828,1.2235,1.18207,1.16781
TestRangeArgs_WithValid_WithInvalidArgs,1.25887,2.11523,1.2171,1.17597,1.25596,1.22045,1.21976
TestRemoveCommand,0.92235,1.4787,0.9205,0.92863,0.96016,0.92216,0.92788
TestReplaceCommandWithRemove,0.93667,1.48394,0.90964,0.9449,0.91757,0.94799,0.96264
TestRequiredFlagNameCompletionInGo,1.37308,2.06019,1.33086,1.36342,1.39273,1.37033,1.31616
TestRequiredFlags,0.82442,1.34657,0.88159,0.81766,0.89514,0.8206,0.82549
TestRootAndSubErrPrefix,1.03465,1.58914,0.96347,1.0169,1.05659,1.02665,0.90822
TestRootErrPrefixExecutedOnSubcommand,0.98197,1.59394,0.9476,1.01018,0.9646,0.97296,0.99503
TestRootExecuteUnknownCommand,0.87791,1.35088,0.7874,0.78462,0.77196,0.81101,0.82446
TestRootTakesArgs,0.94698,1.49616,0.93148,1.0012,0.93665,0.94355,0.94555
TestRootTakesNoArgs,0.94844,1.63997,0.96298,0.93075,0.91292,0.92006,0.92411
TestRootUnknownCommandSilenced,0.77797,1.32803,0.80119,0.81148,0.83408,0.79363,0.76316
TestRpad,0.9141,1.50074,0.92387,0.92328,0.92777,0.94611,1.17607
TestSetContext,1.25604,1.99923,1.31478,1.30667,1.30687,1.37172,1.33708
TestSetContextPersistentPreRun,1.33916,1.9954,1.30273,1.28419,1.31595,1.35511,1.31537
TestSetContextPreRun,1.34208,1.96519,1.34052,1.35324,1.3282,1.34306,1.32543
TestSetContextPreRunOverwrite,1.29349,1.95532,1.36669,1.37458,1.30663,1.34186,1.32487
TestSetErr,1.26118,1.95667,1.30674,1.27987,1.32382,1.32221,1.26596
TestSetHelpCommand,0.88632,1.3238,0.84151,0.89701,0.84599,0.87668,0.88773
TestSetHelpTemplate,0.87815,1.3595,0.86234,0.88475,0.88918,0.87989,0.8463
TestSetIn,1.2944,1.91369,1.26894,1.27325,1.30631,1.25819,1.2816
TestSetOut,1.34736,2.00341,1.25633,1.24861,1.27926,1.27619,1.32764
TestSetOutput,1.24493,1.93918,1.23028,1.21084,1.26947,1.26558,1.27818
TestSetUsageTemplate,0.94042,1.53299,0.93028,0.98147,1.0179,1.08493,1.0601
TestShortAndLongVersionFlagInHelp,0.99753,1.70094,0.96845,1.13579,1.0022,0.97506,1.01345
TestShortVersionFlagOnlyAddedToRoot,0.9396,1.47041,0.92679,0.92008,0.91564,0.91661,0.90631
TestShorthandVersionFlagExecuted,1.00364,1.56502,0.99588,0.99309,1.00969,1.0218,0.98959
TestShorthandVersionFlagExecutedOnSubcommand,1.10866,1.99581,1.17214,1.03095,0.94028,0.96557,0.91468
TestShorthandVersionFlagOnlyAddedIfShorthandNotDefined,0.98215,1.4698,0.89111,0.91868,0.92615,0.96698,0.94658
TestShorthandVersionFlagOnlyAddedIfVersionNotDefined,0.94929,1.46357,0.8965,0.93865,0.95206,0.93763,0.9217
TestShorthandVersionFlagOnlyExistsIfVersionNonEmpty,0.94686,1.46708,0.91856,0.95743,0.92913,0.94344,0.9454
TestShorthandVersionTemplate,0.98385,1.62264,1.01633,1.01716,1.00192,1.01716,1.02375
TestSingleCommand,0.79702,1.30282,0.76579,0.79211,0.79819,0.78819,0.78583
TestSortedFlags,1.67655,2.53973,1.7269,1.77295,1.74096,1.71464,1.79067
TestStringInSlice,0.96311,1.56245,0.91771,0.92888,0.93587,1.02454,0.96685
TestStripFlags,0.81078,1.36956,0.83263,0.82001,0.83807,0.89774,0.81793
TestSubcommandExecuteC,0.80606,1.30917,0.79347,0.84436,0.82272,0.81776,0.77616
