Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestContextRenderRedirectWith201,1.38656,2.06111,1.36706,1.40913,1.39508,1.38355,1.41013
TestContextRenderRedirectWithAbsolutePath,1.41349,1.99481,1.37523,1.43642,1.37148,1.37885,1.41132
TestContextRenderRedirectWithRelativePath,1.3976,2.02167,1.43142,1.37155,1.39519,1.41013,1.36132
TestContextRenderSSE,1.35428,1.98268,1.37663,1.39933,1.41862,1.35667,1.44038
TestContextRenderSecureJSON,1.81919,2.67364,1.82002,1.75282,1.79498,1.84869,1.74704
TestContextRenderString,1.37026,2.02267,1.41407,1.41189,1.37081,1.36296,1.34995
TestContextRenderTOML,1.38948,2.02112,1.35607,1.39426,1.41989,1.35834,1.3981
TestContextRenderUTF8Attachment,1.43011,2.10204,1.42881,1.4669,1.45701,1.44595,1.45087
TestContextRenderXML,1.41199,2.00047,1.39164,1.37537,1.34747,1.39738,1.34385
TestContextRenderYAML,1.35382,2.06212,1.35751,1.36538,1.36666,1.371,1.36722
TestContextReset,1.90075,3.36529,1.90277,2.05484,2.49178,2.07568,2.06596
TestContextResetInHandler,1.49441,2.13519,1.47171,1.49718,1.52048,1.50979,1.50155
TestContextSetCookie,1.73189,2.59938,1.79589,1.74798,1.79794,1.81742,1.76611
TestContextSetCookieData,1.49887,2.1751,1.48731,1.50903,1.4798,667.07378,5.97943
TestContextSetCookiePathEmpty,1.69872,2.60619,1.74799,1.70519,1.7442,1.77511,1.73282
TestContextSetGet,2.60178,4.18245,2.45415,2.57763,2.44098,2.08128,2.21605
TestContextSetGetAnyKey,2.33161,3.19158,2.18475,2.19031,61.20345,663.20923,72.49121
TestContextSetGetBool,1.70339,2.67561,1.69617,1.66893,1.60678,1.7339,1.68079
TestContextSetGetPanicsWhenKeyNotComparable,2.58201,2.60212,1.96261,2.528,2.03724,1.96709,1.88758
TestContextSetGetValues,1.89201,2.81142,1.84168,1.91312,1.83813,1.8653,1.87128
TestContextShouldBindBodyWith,1.47079,2.17778,1.50146,1.45265,1.48725,1.4557,1.46226
TestContextShouldBindBodyWithJSON,1.46596,2.11132,1.5031,1.45592,1.4578,1.52273,1.44607
TestContextShouldBindBodyWithPlain,1.47772,2.06858,1.58167,1.48366,1.48335,1.47369,1.46382
TestContextShouldBindBodyWithTOML,1.4692,2.08862,1.44246,1.44843,1.55784,1.50139,1.45436
TestContextShouldBindBodyWithXML,1.44574,2.09962,1.43762,1.49815,1.45341,1.46415,1.46807
TestContextShouldBindBodyWithYAML,1.43566,2.10962,1.43988,1.46304,1.45305,1.47789,1.48598
TestContextShouldBindHeader,1.4431,2.1037,1.42934,1.40987,1.48121,1.43084,1.53564
TestContextShouldBindPlain,1.45237,2.05726,1.49335,1.44325,1.50632,1.42577,1.42712
TestContextShouldBindWithJSON,1.45987,2.1517,1.44288,1.46082,1.43552,1.47357,1.44646
TestContextShouldBindWithQuery,1.43537,2.09401,1.41671,1.45679,1.43703,1.43608,1.43362
TestContextShouldBindWithTOML,1.47357,2.12132,1.45443,1.42162,1.47169,1.43719,1.46464
TestContextShouldBindWithXML,1.43478,2.17006,1.44815,1.47546,1.49555,1.56846,1.52106
TestContextShouldBindWithYAML,1.42505,2.09105,1.49429,1.46027,1.44541,1.43978,1.47563
TestContextStream,1.44808,603.49664,602.13527,662.20207,1.39131,1.5287,1.49737
